time,prevalence
UTC,Proportion samples present
1998-01-01T00:00:00Z,0.52
1999-01-01T00:00:00Z,0.17
2000-01-01T00:00:00Z,0.23
2001-01-01T00:00:00Z,0.18
2002-01-01T00:00:00Z,0.23
2003-01-01T00:00:00Z,0.55
2004-01-01T00:00:00Z,0.82
2005-01-01T00:00:00Z,0.48
2006-01-01T00:00:00Z,0.37
2007-01-01T00:00:00Z,0.18
2008-01-01T00:00:00Z,0.2
2009-01-01T00:00:00Z,0.31
2010-01-01T00:00:00Z,0.15
2011-01-01T00:00:00Z,0.18
2012-01-01T00:00:00Z,0.13
2013-01-01T00:00:00Z,0.06
2014-01-01T00:00:00Z,0.06
2015-01-01T00:00:00Z,0.02
2016-01-01T00:00:00Z,0.04
2017-01-01T00:00:00Z,0.02
2018-01-01T00:00:00Z,0.0
2019-01-01T00:00:00Z,0.02
2020-01-01T00:00:00Z,0.0
2021-01-01T00:00:00Z,0.16
2022-01-01T00:00:00Z,0.0
