time,JSOES_herring,year
1998-01-01T00:00:00Z,0.47,1998
1999-01-01T00:00:00Z,0.06,1999
2000-01-01T00:00:00Z,0.23,2000
2001-01-01T00:00:00Z,0.13,2001
2002-01-01T00:00:00Z,0.11,2002
2003-01-01T00:00:00Z,0.26,2003
2004-01-01T00:00:00Z,0.66,2004
2005-01-01T00:00:00Z,0.57,2005
2006-01-01T00:00:00Z,0.27,2006
2007-01-01T00:00:00Z,0.27,2007
2008-01-01T00:00:00Z,0.15,2008
2009-01-01T00:00:00Z,0.17,2009
2010-01-01T00:00:00Z,0.22,2010
2011-01-01T00:00:00Z,0.22,2011
2012-01-01T00:00:00Z,0.13,2012
2013-01-01T00:00:00Z,0.17,2013
2014-01-01T00:00:00Z,0.06,2014
2015-01-01T00:00:00Z,0.1,2015
2016-01-01T00:00:00Z,0.12,2016
2017-01-01T00:00:00Z,0.07,2017
2018-01-01T00:00:00Z,0.07,2018
2019-01-01T00:00:00Z,0.07,2019
2020-01-01T00:00:00Z,0.06,2020
2021-01-01T00:00:00Z,0.02,2021
2022-01-01T00:00:00Z,0,2022
