time,mean_density
UTC,Linear density (Log10(no. km-1+ 1)).
1998-01-01T00:00:00Z,0.32
1999-01-01T00:00:00Z,0.38
2000-01-01T00:00:00Z,0.06
2001-01-01T00:00:00Z,0.23
2002-01-01T00:00:00Z,0.37
2003-01-01T00:00:00Z,0.55
2004-01-01T00:00:00Z,0.3
2005-01-01T00:00:00Z,0.12
2006-01-01T00:00:00Z,0.3
2007-01-01T00:00:00Z,0.07
2008-01-01T00:00:00Z,0.04
2009-01-01T00:00:00Z,0.009181311
2010-01-01T00:00:00Z,0.13
2011-01-01T00:00:00Z,0.22
2012-01-01T00:00:00Z,0.25
2013-01-01T00:00:00Z,0.16
2014-01-01T00:00:00Z,0.6
2015-01-01T00:00:00Z,0.54
2016-01-01T00:00:00Z,0.43
2017-01-01T00:00:00Z,0.35
2018-01-01T00:00:00Z,0.85
2019-01-01T00:00:00Z,1.15
2020-01-01T00:00:00Z,0.64
2021-01-01T00:00:00Z,0.28
2022-01-01T00:00:00Z,0.58
