time,prevalence
UTC,Proportion samples present
1998-01-01T00:00:00Z,0.47
1999-01-01T00:00:00Z,0.06
2000-01-01T00:00:00Z,0.23
2001-01-01T00:00:00Z,0.13
2002-01-01T00:00:00Z,0.11
2003-01-01T00:00:00Z,0.26
2004-01-01T00:00:00Z,0.66
2005-01-01T00:00:00Z,0.57
2006-01-01T00:00:00Z,0.27
2007-01-01T00:00:00Z,0.27
2008-01-01T00:00:00Z,0.15
2009-01-01T00:00:00Z,0.17
2010-01-01T00:00:00Z,0.22
2011-01-01T00:00:00Z,0.22
2012-01-01T00:00:00Z,0.13
2013-01-01T00:00:00Z,0.17
2014-01-01T00:00:00Z,0.06
2015-01-01T00:00:00Z,0.1
2016-01-01T00:00:00Z,0.12
2017-01-01T00:00:00Z,0.07
2018-01-01T00:00:00Z,0.07
2019-01-01T00:00:00Z,0.07
2020-01-01T00:00:00Z,0.06
2021-01-01T00:00:00Z,0.02
2022-01-01T00:00:00Z,0.0
