time,mean_density
UTC,Linear density (Log10(no. km-1+ 1)).
1998-01-01T00:00:00Z,0.09
1999-01-01T00:00:00Z,0.28
2000-01-01T00:00:00Z,0.22
2001-01-01T00:00:00Z,0.12
2002-01-01T00:00:00Z,0.23
2003-01-01T00:00:00Z,0.2
2004-01-01T00:00:00Z,0.14
2005-01-01T00:00:00Z,0.05
2006-01-01T00:00:00Z,0.16
2007-01-01T00:00:00Z,0.17
2008-01-01T00:00:00Z,0.43
2009-01-01T00:00:00Z,0.22
2010-01-01T00:00:00Z,0.24
2011-01-01T00:00:00Z,0.15
2012-01-01T00:00:00Z,0.28
2013-01-01T00:00:00Z,0.24
2014-01-01T00:00:00Z,0.21
2015-01-01T00:00:00Z,0.15
2016-01-01T00:00:00Z,0.1
2017-01-01T00:00:00Z,0.02
2018-01-01T00:00:00Z,0.11
2019-01-01T00:00:00Z,0.15
2020-01-01T00:00:00Z,0.08
2021-01-01T00:00:00Z,0.17
2022-01-01T00:00:00Z,0.18
