time,mean_density
UTC,Linear density (Log10(no. km-1+ 1)).
1998-01-01T00:00:00Z,0.07
1999-01-01T00:00:00Z,0.28
2000-01-01T00:00:00Z,0.23
2001-01-01T00:00:00Z,0.43
2002-01-01T00:00:00Z,0.41
2003-01-01T00:00:00Z,0.42
2004-01-01T00:00:00Z,0.21
2005-01-01T00:00:00Z,0.07
2006-01-01T00:00:00Z,0.25
2007-01-01T00:00:00Z,0.46
2008-01-01T00:00:00Z,0.44
2009-01-01T00:00:00Z,0.32
2010-01-01T00:00:00Z,0.31
2011-01-01T00:00:00Z,0.25
2012-01-01T00:00:00Z,0.26
2013-01-01T00:00:00Z,0.48
2014-01-01T00:00:00Z,0.3
2015-01-01T00:00:00Z,0.25
2016-01-01T00:00:00Z,0.25
2017-01-01T00:00:00Z,0.06
2018-01-01T00:00:00Z,0.45
2019-01-01T00:00:00Z,0.25
2020-01-01T00:00:00Z,0.23
2021-01-01T00:00:00Z,0.27
2022-01-01T00:00:00Z,0.37
