time,JOSES_yearling_sockeye,year
1998-01-01T00:00:00Z,0,1998
1999-01-01T00:00:00Z,0,1999
2000-01-01T00:00:00Z,0.007566909,2000
2001-01-01T00:00:00Z,0.04,2001
2002-01-01T00:00:00Z,0.02,2002
2003-01-01T00:00:00Z,0.04,2003
2004-01-01T00:00:00Z,0.03,2004
2005-01-01T00:00:00Z,0.01,2005
2006-01-01T00:00:00Z,0.01,2006
2007-01-01T00:00:00Z,0.07,2007
2008-01-01T00:00:00Z,0.05,2008
2009-01-01T00:00:00Z,0.008249822,2009
2010-01-01T00:00:00Z,0.12,2010
2011-01-01T00:00:00Z,0.01,2011
2012-01-01T00:00:00Z,0.004606311,2012
2013-01-01T00:00:00Z,0.07,2013
2014-01-01T00:00:00Z,0.04,2014
2015-01-01T00:00:00Z,0.05,2015
2016-01-01T00:00:00Z,0.007475035,2016
2017-01-01T00:00:00Z,0,2017
2018-01-01T00:00:00Z,0.02,2018
2019-01-01T00:00:00Z,0.01,2019
2020-01-01T00:00:00Z,0.01,2020
2021-01-01T00:00:00Z,0.007619397,2021
2022-01-01T00:00:00Z,0.04,2022
