time,prevalence
UTC,Proportion samples present
1998-01-01T00:00:00Z,0.0
1999-01-01T00:00:00Z,0.06
2000-01-01T00:00:00Z,0.11
2001-01-01T00:00:00Z,0.21
2002-01-01T00:00:00Z,0.26
2003-01-01T00:00:00Z,0.0
2004-01-01T00:00:00Z,0.58
2005-01-01T00:00:00Z,0.06
2006-01-01T00:00:00Z,0.06
2007-01-01T00:00:00Z,0.09
2008-01-01T00:00:00Z,0.31
2009-01-01T00:00:00Z,0.13
2010-01-01T00:00:00Z,0.51
2011-01-01T00:00:00Z,0.11
2012-01-01T00:00:00Z,0.09
2013-01-01T00:00:00Z,0.13
2014-01-01T00:00:00Z,0.13
2015-01-01T00:00:00Z,0.12
2016-01-01T00:00:00Z,0.73
2017-01-01T00:00:00Z,0.04
2018-01-01T00:00:00Z,0.16
2019-01-01T00:00:00Z,0.35
2020-01-01T00:00:00Z,0.18
2021-01-01T00:00:00Z,0.4
2022-01-01T00:00:00Z,0.07
