"","population","pop_no","group_1","juv_lh","run_time"
"1","harrison",1,1,"ocean_early","fall"
"2","birkenhead",2,1,"stream","spring"
"3","nicola",3,1,"stream","spring"
"4","clearwater",4,1,"stream","summer"
"5","lower_shuswap",5,1,"ocean_late","summer"
"6","adams",6,1,"ocean_late","summer"
"7","south_thompson",7,1,"ocean_late","summer"
"8","little_river",8,NA,"ocean_late","summer"
"9","quesnel",9,NA,"stream","summer"
"10","blackwater",10,NA,"stream","spring"
"11","cottonwood",11,1,"stream","spring"
"12","chilcotin_upper",12,NA,"stream","spring"
"13","portage",13,1,"stream","summer"
"14","fraser_river",14,1,"stream","spring"
"15","goat",15,1,"stream","spring"
"16","holmes",16,1,"stream","spring"
"17","torpy",17,1,"stream","spring"
"18","walker",18,1,"stream","spring"
"19","upper_skagit",19,2,"ocean","summer"
"20","lower_skagit",20,2,"ocean","fall"
"21","lower_sauk",21,2,"ocean","summer"
"22","snoqualmie",22,NA,"ocean","fall"
"23","skykomish",23,NA,"ocean","summer"
"24","dungeness",24,NA,"ocean","summer"
"25","suiattle",25,3,"ocean_mix","spring"
"26","upper_sauk",26,3,"ocean_mix","spring"
"27","quillayute_fa",27,4,"ocean","fall"
"28","quillayute_su",28,4,"ocean","fall"
"29","hoh_sp",30,5,"ocean_mix","spring"
"30","hoh_fa",31,5,"ocean","fall"
"31","clearwater_fa",32,4,"ocean","fall"
"32","clearwater_sp",33,4,"ocean_mix","spring"
"33","queets_sp",34,6,"ocean_mix","spring"
"34","queets_fa",35,6,"ocean","fall"
"35","humptulips",36,4,"ocean","fall"
"36","wishkah",37,4,"ocean","fall"
"37","chehalis_fa",38,NA,"ocean","fall"
"38","chehalis_sp",39,4,"ocean","spring"
"39","willapa",40,NA,"ocean","fall"
"40","lewis",41,11,"ocean","fall"
"41","american_yak_sp",42,8,"stream","spring"
"42","naches",43,8,"stream","spring"
"43","yakima_sp",44,8,"stream","spring"
"44","wenatchee_sp",45,7,"stream","spring"
"45","wenatchee_su",46,8,"ocean_mix","summer"
"46","methow_sp",47,7,"stream","spring"
"47","methow_su",48,7,"ocean_mix","summer"
"48","hanford_fa",49,9,"ocean_mix","fall"
"49","snake_fa",50,9,"ocean_mix","fall"
"50","tucannon",51,10,"stream","spring"
"51","clackamas",52,11,"ocean_mix","spring"
"52","sandy_sp",53,11,"ocean_mix","spring"
"53","mckenzie",54,11,"ocean_mix","spring"
"54","north_santiam",55,NA,"ocean","spring"
"55","south_santiam",56,NA,"ocean","spring"
"56","deschutes_fa",57,8,"ocean","fall"
"57","deschutes_sp",58,8,"stream","spring"
"58","upper_grande_ronde",59,10,"stream","spring"
"59","catherine_ck",60,10,"stream","spring"
"60","minam",61,10,"stream","spring"
"61","wallowa",62,12,"stream","spring"
"62","imnaha",63,12,"stream","spring"
"63","wenaha",64,12,"stream","spring"
"64","salmon_upper_mainstem",65,10,"stream","spring"
"65","salmon_lower_mainstem",66,10,"stream","spring"
"66","bear_valley",70,10,"stream","spring"
"67","marsh_ck",71,10,"stream","spring"
"68","valley_ck",74,10,"stream","spring"
"69","camas_ck",75,10,"stream","spring"
"70","east_fork_salmon",76,10,"stream","spring"
"71","lemhi",77,10,"stream","spring"
"72","big_ck",79,10,"stream","spring"
"73","south_fork_salmon",80,10,"stream","summer"
"74","nehalem",81,13,"ocean","fall"
"75","siletz",82,13,"ocean","fall"
"76","siuslaw",84,13,"ocean","fall"
"77","north_umpqua_sp",85,13,"ocean_late","spring"
"78","rogue_sp",86,14,"ocean_late","spring"
"79","rogue_fa",87,14,"ocean","fall"
"80","shasta_fa",88,14,"ocean","fall"
"81","scott_fa",89,14,"ocean","fall"
"82","salmon_fa",90,14,"ocean","fall"
"83","klamath_fa",91,14,"ocean","fall"
"84","trinity_fa",92,14,"ocean","fall"
"85","salmon_sp",93,14,"ocean","spring"
"86","trinity_sp",94,14,"ocean","spring"
"87","south_fork_trinity_sp",95,14,"ocean","spring"
"88","upper_sac_fa",96,15,"ocean","late_fall"
"89","butte_fa",97,NA,"ocean","fall"
"90","butte_sp",98,15,"ocean_mix","spring"
"91","mill_sp",99,15,"ocean_mix","spring"
"92","deer_ck",100,15,"ocean_mix","spring"
"93","upper_sac_w",101,15,"ocean_mix","winter"
"94","russian",102,NA,"ocean","fall"
"95","cascade",103,3,"ocean_late","spring"
"96","little",104,1,"ocean_late","summer"
"97","maria_slough",105,1,"ocean","summer"
"98","cowichan",106,1,"ocean","fall"
"99","hoko",107,4,"ocean","fall"
