Year,BI
1967,0.665116279
1968,0.288372093
1969,0.423255814
1970,0.506976744
1971,0.469767442
1972,0.344186047
1973,0.572093023
1974,0.474418605
1975,0.613953488
1976,0.525581395
1977,0.381395349
1978,0.437209302
1979,0.586046512
1980,0.386046512
1981,0.311627907
1982,0.669767442
1983,0.213953488
1984,0.186046512
1985,0.730232558
1986,0.23255814
1987,0.339534884
1988,0.325581395
1989,0.553488372
1990,0.497674419
1991,0.506976744
1992,0.334883721
1993,0.102325581
1994,0.530232558
1995,0.437209302
1996,0.279069767
1997,0.372093023
1998,0.404651163
1999,0.404651163
2000,0.362790698
2001,0.655813953
2002,0.604651163
2003,0.660465116
2004,0.488372093
2005,0.48372093
2006,0.651162791
2007,0.386046512
2008,0.562790698
2009,0.739534884
2010,0.246511628
2011,0.446511628
2012,0.330232558
2013,0.576744186
2014,0.325581395
2015,0.413953488
2016,0.237209302
2017,0.479069767
2018,0.762790698
2019,0.846511628
2020,0.744186047
2021,0.697674419
2022,0.51627907
