time,cuti
1988-01-15T00:00:00Z,0.182
1988-02-15T00:00:00Z,0.16
1988-03-15T00:00:00Z,0.328
1988-04-15T00:00:00Z,0.279
1988-05-15T00:00:00Z,0.627
1988-06-15T00:00:00Z,0.414
1988-07-15T00:00:00Z,0.192
1988-08-15T00:00:00Z,0.275
1988-09-15T00:00:00Z,0.161
1988-10-15T00:00:00Z,0.247
1988-11-15T00:00:00Z,0.318
1988-12-15T00:00:00Z,0.23
1989-01-15T00:00:00Z,0.17
1989-02-15T00:00:00Z,0.195
1989-03-15T00:00:00Z,0.433
1989-04-15T00:00:00Z,0.258
1989-05-15T00:00:00Z,0.548
1989-06-15T00:00:00Z,0.279
1989-07-15T00:00:00Z,0.223
1989-08-15T00:00:00Z,0.285
1989-09-15T00:00:00Z,0.426
1989-10-15T00:00:00Z,0.317
1989-11-15T00:00:00Z,0.137
1989-12-15T00:00:00Z,0.246
1990-01-15T00:00:00Z,0.369
1990-02-15T00:00:00Z,0.585
1990-03-15T00:00:00Z,0.391
1990-04-15T00:00:00Z,0.311
1990-05-15T00:00:00Z,0.447
1990-06-15T00:00:00Z,0.388
1990-07-15T00:00:00Z,0.279
1990-08-15T00:00:00Z,0.357
1990-09-15T00:00:00Z,0.311
1990-10-15T00:00:00Z,0.171
1990-11-15T00:00:00Z,0.52
1990-12-15T00:00:00Z,0.344
1991-01-15T00:00:00Z,0.143
1991-02-15T00:00:00Z,0.289
1991-03-15T00:00:00Z,0.477
1991-04-15T00:00:00Z,0.622
1991-05-15T00:00:00Z,0.696
1991-06-15T00:00:00Z,0.263
1991-07-15T00:00:00Z,0.237
1991-08-15T00:00:00Z,0.224
1991-09-15T00:00:00Z,0.224
1991-10-15T00:00:00Z,0.421
1991-11-15T00:00:00Z,0.436
1991-12-15T00:00:00Z,0.151
1992-01-15T00:00:00Z,0.11
1992-02-15T00:00:00Z,0.061
1992-03-15T00:00:00Z,0.205
1992-04-15T00:00:00Z,0.459
1992-05-15T00:00:00Z,0.36
1992-06-15T00:00:00Z,0.537
1992-07-15T00:00:00Z,0.299
1992-08-15T00:00:00Z,0.432
1992-09-15T00:00:00Z,0.49
1992-10-15T00:00:00Z,0.376
1992-11-15T00:00:00Z,0.41
1992-12-15T00:00:00Z,0.421
1993-01-15T00:00:00Z,0.144
1993-02-15T00:00:00Z,0.142
1993-03-15T00:00:00Z,0.401
1993-04-15T00:00:00Z,0.662
1993-05-15T00:00:00Z,0.505
1993-06-15T00:00:00Z,0.356
1993-07-15T00:00:00Z,0.147
1993-08-15T00:00:00Z,0.284
1993-09-15T00:00:00Z,0.305
1993-10-15T00:00:00Z,0.165
1993-11-15T00:00:00Z,0.204
1993-12-15T00:00:00Z,0.359
1994-01-15T00:00:00Z,0.291
1994-02-15T00:00:00Z,0.199
1994-03-15T00:00:00Z,0.35
1994-04-15T00:00:00Z,0.558
1994-05-15T00:00:00Z,0.348
1994-06-15T00:00:00Z,0.277
1994-07-15T00:00:00Z,0.236
1994-08-15T00:00:00Z,0.25
1994-09-15T00:00:00Z,0.38
1994-10-15T00:00:00Z,0.302
1994-11-15T00:00:00Z,0.494
1994-12-15T00:00:00Z,0.41
1995-01-15T00:00:00Z,0.233
1995-02-15T00:00:00Z,0.194
1995-03-15T00:00:00Z,0.428
1995-04-15T00:00:00Z,0.654
1995-05-15T00:00:00Z,0.321
1995-06-15T00:00:00Z,0.257
1995-07-15T00:00:00Z,0.258
1995-08-15T00:00:00Z,0.255
1995-09-15T00:00:00Z,0.396
1995-10-15T00:00:00Z,0.137
1995-11-15T00:00:00Z,0.298
1995-12-15T00:00:00Z,0.478
1996-01-15T00:00:00Z,0.46
1996-02-15T00:00:00Z,0.291
1996-03-15T00:00:00Z,0.387
1996-04-15T00:00:00Z,0.446
1996-05-15T00:00:00Z,0.388
1996-06-15T00:00:00Z,0.347
1996-07-15T00:00:00Z,0.195
1996-08-15T00:00:00Z,0.231
1996-09-15T00:00:00Z,0.229
1996-10-15T00:00:00Z,0.399
1996-11-15T00:00:00Z,0.352
1996-12-15T00:00:00Z,0.139
1997-01-15T00:00:00Z,0.299
1997-02-15T00:00:00Z,0.637
1997-03-15T00:00:00Z,0.245
1997-04-15T00:00:00Z,0.593
1997-05-15T00:00:00Z,0.24
1997-06-15T00:00:00Z,0.387
1997-07-15T00:00:00Z,0.194
1997-08-15T00:00:00Z,0.261
1997-09-15T00:00:00Z,0.312
1997-10-15T00:00:00Z,0.381
1997-11-15T00:00:00Z,0.096
1997-12-15T00:00:00Z,0.154
1998-01-15T00:00:00Z,0.356
1998-02-15T00:00:00Z,0.532
1998-03-15T00:00:00Z,0.555
1998-04-15T00:00:00Z,0.353
1998-05-15T00:00:00Z,0.334
1998-06-15T00:00:00Z,0.266
1998-07-15T00:00:00Z,0.196
1998-08-15T00:00:00Z,0.26
1998-09-15T00:00:00Z,0.293
1998-10-15T00:00:00Z,0.365
1998-11-15T00:00:00Z,0.427
1998-12-15T00:00:00Z,0.334
1999-01-15T00:00:00Z,0.188
1999-02-15T00:00:00Z,0.593
1999-03-15T00:00:00Z,0.371
1999-04-15T00:00:00Z,0.482
1999-05-15T00:00:00Z,0.241
1999-06-15T00:00:00Z,0.385
1999-07-15T00:00:00Z,0.399
1999-08-15T00:00:00Z,0.382
1999-09-15T00:00:00Z,0.32
1999-10-15T00:00:00Z,0.3
1999-11-15T00:00:00Z,0.303
1999-12-15T00:00:00Z,0.328
2000-01-15T00:00:00Z,0.421
2000-02-15T00:00:00Z,0.312
2000-03-15T00:00:00Z,0.524
2000-04-15T00:00:00Z,0.376
2000-05-15T00:00:00Z,0.429
2000-06-15T00:00:00Z,0.342
2000-07-15T00:00:00Z,0.324
2000-08-15T00:00:00Z,0.304
2000-09-15T00:00:00Z,0.265
2000-10-15T00:00:00Z,0.306
2000-11-15T00:00:00Z,0.472
2000-12-15T00:00:00Z,0.221
2001-01-15T00:00:00Z,0.196
2001-02-15T00:00:00Z,0.429
2001-03-15T00:00:00Z,0.359
2001-04-15T00:00:00Z,0.793
2001-05-15T00:00:00Z,0.053
2001-06-15T00:00:00Z,0.247
2001-07-15T00:00:00Z,0.355
2001-08-15T00:00:00Z,0.372
2001-09-15T00:00:00Z,0.365
2001-10-15T00:00:00Z,0.16
