time,lusi
UTC,days
1967-01-01T00:00:00Z,278.0
1968-01-01T00:00:00Z,217.0
1969-01-01T00:00:00Z,273.0
1970-01-01T00:00:00Z,219.0
1971-01-01T00:00:00Z,333.0
1972-01-01T00:00:00Z,234.0
1973-01-01T00:00:00Z,244.0
1974-01-01T00:00:00Z,305.0
1975-01-01T00:00:00Z,299.0
1976-01-01T00:00:00Z,355.0
1977-01-01T00:00:00Z,322.0
1978-01-01T00:00:00Z,299.0
1979-01-01T00:00:00Z,238.0
1980-01-01T00:00:00Z,268.0
1981-01-01T00:00:00Z,249.0
1982-01-01T00:00:00Z,189.0
1983-01-01T00:00:00Z,213.0
1984-01-01T00:00:00Z,296.0
1985-01-01T00:00:00Z,298.0
1986-01-01T00:00:00Z,271.0
1987-01-01T00:00:00Z,238.0
1988-01-01T00:00:00Z,348.0
1989-01-01T00:00:00Z,272.0
1990-01-01T00:00:00Z,353.0
1991-01-01T00:00:00Z,285.0
1992-01-01T00:00:00Z,277.0
1993-01-01T00:00:00Z,177.0
1994-01-01T00:00:00Z,282.0
1995-01-01T00:00:00Z,238.0
1996-01-01T00:00:00Z,250.0
1997-01-01T00:00:00Z,272.0
1998-01-01T00:00:00Z,257.0
1999-01-01T00:00:00Z,227.0
2000-01-01T00:00:00Z,260.0
2001-01-01T00:00:00Z,249.0
2002-01-01T00:00:00Z,298.0
2003-01-01T00:00:00Z,234.0
2004-01-01T00:00:00Z,303.0
2005-01-01T00:00:00Z,270.0
2006-01-01T00:00:00Z,239.0
2007-01-01T00:00:00Z,333.0
2008-01-01T00:00:00Z,347.0
2009-01-01T00:00:00Z,279.0
2010-01-01T00:00:00Z,268.0
2011-01-01T00:00:00Z,360.0
2012-01-01T00:00:00Z,275.0
2013-01-01T00:00:00Z,360.0
2014-01-01T00:00:00Z,220.0
2015-01-01T00:00:00Z,292.0
2016-01-01T00:00:00Z,214.0
2017-01-01T00:00:00Z,281.0
2018-01-01T00:00:00Z,294.0
2019-01-01T00:00:00Z,288.0
2020-01-01T00:00:00Z,331.0
2021-01-01T00:00:00Z,278.0
2022-01-01T00:00:00Z,322.0
