stock_code,stock_country,stock_region,cyer_stock,stock_jurisdiction,fishery_type_2,age,brood_year,year,ocean_cohort
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1986,1988,1202.861
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1986,1989,833.8364
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1986,1990,636.1782
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1986,1991,500.7268
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1987,1989,1361.696
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1987,1990,943.6243
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1987,1991,712.1837
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1987,1992,473.2512
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1988,1990,2363.817
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1988,1991,1630.966
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1988,1992,1216.663
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1988,1993,722.8728
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1989,1991,2453.257
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1989,1992,1699.224
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1989,1993,1282.706
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1989,1994,748.0067
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1990,1992,3164.53
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1990,1993,2195.865
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1990,1994,1654.57
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1990,1995,990.6157
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1991,1993,5867.403
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1991,1994,4068.535
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1991,1995,2936.737
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1991,1996,1551.156
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1992,1994,2334.693
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1992,1995,1622.997
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1992,1996,1192.583
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1992,1997,667.1119
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1993,1995,1532.978
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1993,1996,1063.622
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1993,1997,792.4998
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1993,1998,380.578
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1994,1996,2231.284
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1994,1997,1548.654
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1994,1998,1151.297
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1994,1999,593.6313
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1995,1997,3070.746
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1995,1998,2133.575
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1995,1999,1546.27
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1995,2000,734.4208
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1996,1998,1483.688
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1996,1999,1032.63
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1996,2000,732.4768
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1996,2001,399.0123
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1997,1999,498.0819
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1997,2000,345.5543
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1997,2001,262.685
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1997,2002,140.454
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1998,2000,2007.406
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1998,2001,1386.385
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1998,2002,956.7242
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1998,2003,349.3883
ATN,CA,CBC,Y,BC,Pre-Terminal,2,1999,2001,1164.768
ATN,CA,CBC,Y,BC,Pre-Terminal,3,1999,2002,808.8524
ATN,CA,CBC,Y,BC,Pre-Terminal,4,1999,2003,613.0041
ATN,CA,CBC,Y,BC,Pre-Terminal,5,1999,2004,367.7377
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2000,2002,1235.063
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2000,2003,850.3456
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2000,2004,633.8188
ATN,CA,CBC,Y,BC,Pre-Terminal,5,2000,2005,357.8667
ATN,CA,CBC,Y,BC,Pre-Terminal,2,2001,2003,3020.441
ATN,CA,CBC,Y,BC,Pre-Terminal,3,2001,2004,2086.592
ATN,CA,CBC,Y,BC,Pre-Terminal,4,2001,2005,1574.754
