Stock Country,stock_code,run_year,brood_year,age,Mat Rate,Marine Survival
CA,ATN,1991,1986,5,1,0.002662603
CA,ATN,1990,1986,4,0.0915,0.003804675
CA,ATN,1989,1986,3,0.0103,0.005659646
CA,ATN,1988,1986,2,0,0.009471498
CA,ATN,1992,1987,5,1,0.003410322
CA,ATN,1991,1987,4,0.2128,0.005771214
CA,ATN,1990,1987,3,0.0443,0.008684711
CA,ATN,1989,1987,2,0,0.014529865
CA,ATN,1993,1988,5,1,0.005040344
CA,ATN,1992,1988,4,0.2839,0.009544441
CA,ATN,1991,1988,3,0.0575,0.0145289
CA,ATN,1990,1988,2,0.0004,0.02433393
CA,ATN,1994,1989,5,1,0.005625279
CA,ATN,1993,1989,4,0.2995,0.010844401
CA,ATN,1992,1989,3,0.0387,0.01636611
CA,ATN,1991,1989,2,0.0004,0.027412236
CA,ATN,1995,1990,5,1,0.008022712
CA,ATN,1994,1990,4,0.3035,0.015077479
CA,ATN,1993,1990,3,0.0492,0.022985758
CA,ATN,1992,1990,2,0.0021,0.038763685
CA,ATN,1996,1991,5,1,0.00856336
CA,ATN,1995,1991,4,0.3835,0.018223988
CA,ATN,1994,1991,3,0.0851,0.028934154
CA,ATN,1993,1991,2,0.0007,0.048839094
CA,ATN,1997,1992,5,1,0.004274821
CA,ATN,1996,1992,4,0.3709,0.008596364
CA,ATN,1995,1992,3,0.0639,0.013404744
CA,ATN,1994,1992,2,0.0009,0.022581389
CA,ATN,1998,1993,5,1,0.003592631
CA,ATN,1997,1993,4,0.4384,0.008414231
CA,ATN,1996,1993,3,0.0573,0.012882513
CA,ATN,1995,1993,2,0,0.021700172
CA,ATN,1999,1994,5,1,0.006026627
CA,ATN,1998,1994,4,0.3867,0.01315083
CA,ATN,1997,1994,3,0.0573,0.02017459
CA,ATN,1996,1994,2,0,0.033785635
CA,ATN,2000,1995,5,1,0.004648301
CA,ATN,1999,1995,4,0.4292,0.011010664
CA,ATN,1998,1995,3,0.0876,0.017375305
CA,ATN,1997,1995,2,0,0.029128216
CA,ATN,2001,1996,5,1,0.00306298
CA,ATN,2000,1996,4,0.3846,0.006324908
CA,ATN,1999,1996,3,0.1041,0.010218913
CA,ATN,1998,1996,2,0,0.017167607
CA,ATN,2002,1997,5,1,0.000939699
CA,ATN,2001,1997,4,0.3804,0.00197692
CA,ATN,2000,1997,3,0.0466,0.002976216
CA,ATN,1999,1997,2,0,0.005014538
CA,ATN,2003,1998,5,1,0.002496191
CA,ATN,2002,1998,4,0.5355,0.007689786
CA,ATN,2001,1998,3,0.1209,0.012683454
CA,ATN,2000,1998,2,0,0.021282874
CA,ATN,2004,1999,5,1,0.002766362
CA,ATN,2003,1999,4,0.3119,0.005187437
CA,ATN,2002,1999,3,0.0479,0.007858337
CA,ATN,2001,1999,2,0,0.013201492
CA,ATN,2005,2000,5,1,0.002644778
CA,ATN,2004,2000,4,0.3331,0.005268935
CA,ATN,2003,2000,3,0.0499,0.008039432
CA,ATN,2002,2000,2,0,0.013567124
CA,ATN,2006,2001,5,1,0.007027708
CA,ATN,2005,2001,4,0.2507,0.013204447
CA,ATN,2004,2001,3,0.0394,0.019921005
CA,ATN,2003,2001,2,0,0.033492932
CA,ATN,2007,2002,5,1,0.002633292
CA,ATN,2006,2002,4,0.4747,0.007076469
CA,ATN,2005,2002,3,0.0513,0.010812805
CA,ATN,2004,2002,2,0,0.01815961
CA,ATN,2010,2005,5,1,0.002879673
CA,ATN,2009,2005,4,0.5017,0.007907634
CA,ATN,2008,2005,3,0.0952,0.012544769
