component,brood yr,calendar yr,age,N.released,N2.sep.1,s.rate
IGHF,1980,1981,2,1550768,27764.9,0.0179
IGHF,1981,1982,2,884216,28993.9,0.0328
IGHF,1982,1983,2,1484798,8531.1,0.0057
IGHF,1983,1984,2,2993372,83698.1,0.028
IGHF,1984,1985,2,2900044,73542.3,0.0254
IGHF,1985,1986,2,12204669,212270.4,0.0174
IGHF,1986,1987,2,8820000,9697.5,0.0011
IGHF,1987,1988,2,6260000,9380.6,0.0015
IGHF,1988,1989,2,10206673,9817.4,0.001
IGHF,1989,1990,2,5111686,2592.6,0.0005
IGHF,1990,1991,2,5200054,121873.6,0.0234
IGHF,1991,1992,2,3579732,16091.7,0.0045
IGHF,1992,1993,2,3315579,147932.2,0.0446
IGHF,1993,1994,2,4975181,8890,0.0018
IGHF,1994,1995,2,4919341,14039.5,0.0029
IGHF,1995,1996,2,5626485,15714.8,0.0028
IGHF,1996,1997,2,5288073,27938.6,0.0053
IGHF,1997,1998,2,5103610,341709.6,0.067
IGHF,1998,1999,2,4964852,96699.5,0.0195
IGHF,1999,2000,2,5028812,139235.8,0.0277
IGHF,2000,2001,2,4949664,84511.2,0.0171
IGHF,2001,2002,2,4982040,3690.8,0.0007
IGHF,2002,2003,2,5128834,61169.8,0.0119
IGHF,2003,2004,2,5196761,16697.2,0.0032
IGHF,2004,2005,2,5375648,155042.6,0.0288
IGHF,2005,2006,2,6187315,31424.8,0.0051
IGHF,2006,2007,2,5368964,57266,0.0107
IGHF,2007,2008,2,5306490,35791.2,0.0067
IGHF,2008,2009,2,3979009,58257.5,0.0146
IGHF,2009,2010,2,4530041,355540.8,0.0785
IGHF,2010,2011,2,3936913,157830.9,0.0401
IGHF,2011,2012,2,4871242,78508.7,0.0161
IGHF,2012,2013,2,4111081,31539.1,0.0077
IGHF,2013,2014,2,4425910,6176.6,0.0014
IGHF,2014,2015,2,3825427,7472.9,0.002
IGHF,2015,2016,2,3643698,92280.1,0.0253
IGHF,2016,2017,2,410492,42033.9,0.1024
IGHY,1979,1980,2,1133965,114747.5,0.1012
IGHY,1980,1981,2,1035761,63588.6,0.0614
IGHY,1981,1982,2,1002003,32923.7,0.0329
IGHY,1982,1983,2,910642,117918.3,0.1295
IGHY,1983,1984,2,1330279,255966.6,0.1924
IGHY,1984,1985,2,928000,147853.2,0.1593
IGHY,1985,1986,2,1068688,115893.1,0.1084
IGHY,1986,1987,2,875000,9452.4,0.0108
IGHY,1987,1988,2,909120,34576.2,0.038
IGHY,1988,1989,2,811787,2862.1,0.0035
IGHY,1990,1991,2,993620,46105.4,0.0464
IGHY,1991,1992,2,927398,13730.8,0.0148
IGHY,1992,1993,2,950350,31259.1,0.0329
IGHY,1993,1994,2,827957,9437.3,0.0114
IGHY,1994,1995,2,905862,28913.1,0.0319
IGHY,1995,1996,2,410500,26066.3,0.0635
IGHY,1996,1997,2,1088427,42594.4,0.0391
IGHY,1999,2000,2,1053199,43558.4,0.0414
IGHY,2000,2001,2,911376,83565.3,0.0917
IGHY,2001,2002,2,1093708,74801.1,0.0684
IGHY,2002,2003,2,1097496,20909,0.0191
IGHY,2003,2004,2,689402,7572.9,0.011
IGHY,2004,2005,2,846199,12961.7,0.0153
IGHY,2005,2006,2,873714,30790.3,0.0352
IGHY,2006,2007,2,988569,25684.8,0.026
