"","stock_code","brood_year","age","Mat.Rate","Marine.Survival","Stock.Country","stock_name","area","ecoregion","RunType","Hatchery","Age","Wild","Code","Code2","calendar_year","season","location","sst_winter","sst_spring","CUTI_winter","CUTI_spring","seasonal_STI","Beuti_winter","Beuti_spring","BI","stand_BI"
"1","ATN",1986,2,0,0.009471498,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1987,"Summer/Fall","45N",0.677663448042647,0.586601194869503,NA,NA,-0.300236339781123,NA,NA,0.339534884,-0.793912263857068
"2","ATN",1987,2,0,0.014529865,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1988,"Summer/Fall","45N",-0.0811433334766246,0.246176026976279,1.50514078803105,-1.02776524006259,1.74005586705264,1.35031356547766,-0.824569716240442,0.325581395,-0.878757853299286
"3","ATN",1988,2,4e-04,0.02433393,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1989,"Summer/Fall","45N",-1.5739783187816,0.747712188942823,0.45891307433976,0.0609650562764829,-0.716622504441073,-0.615110583501212,-0.300393315981188,0.553488372,0.507053380117607
"4","ATN",1989,2,4e-04,0.027412236,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1990,"Summer/Fall","45N",-0.580138763256119,0.590821614947067,0.303654998783549,-0.18838133812317,-1.299563134965,0.127508630802131,0.163070657246931,0.497674419,0.167671040590536
"5","ATN",1990,2,0.0021,0.038763685,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1991,"Summer/Fall","45N",-0.78721164637953,-0.00129597391279151,0.71650033605802,0.31278022685831,-0.591706655043088,0.138954757967809,0.0596275092798704,0.506976744,0.224234760804748
"6","ATN",1991,2,7e-04,0.048839094,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1992,"Summer/Fall","45N",1.13800416294314,2.04264978419411,-0.00509685601573424,0.315249003040485,0.282704290742808,-0.223322062083237,-0.917378521893132,0.334883721,-0.822194127004474
"7","ATN",1992,2,9e-04,0.022581389,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1993,"Summer/Fall","45N",-0.295810410132496,1.65493059394775,0.501256185855091,-2.27449721206086,2.19808064817858,0.35436259691708,-1.79828876887991,0.102325581,-2.23628722356877
"8","ATN",1993,2,0,0.021700172,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1994,"Summer/Fall","45N",0.926916416888083,1.13460455501388,0.150161219540477,0.251060822303941,0.074511208412833,-0.131890949904385,-0.694057333291347,0.530232558,0.365644070461178
"9","ATN",1994,2,0,0.033785635,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1995,"Summer/Fall","45N",0.568809657776468,1.28277570496155,-1.4782842774866,0.700378087459751,-0.550068038577093,-1.01613874973967,-0.175681483385387,0.437209302,-0.199993168164542
"10","ATN",1995,2,0,0.029128216,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1996,"Summer/Fall","45N",0.843500027303104,0.701166245605441,-0.0103897449551505,-0.879638669132108,1.1987538529947,0.444552562776761,-1.37156161455598,0.279069767,-1.16157647261215
"11","ATN",1996,2,0,0.017167607,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1997,"Summer/Fall","45N",0.0800270114901585,1.80255213015099,0.570063742067502,-0.640167379461155,0.532535989538779,0.286375359655882,-0.682262880906318,0.372093023,-0.595939233986426
"12","ATN",1997,2,0,0.005014538,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1998,"Summer/Fall","45N",2.34646223134246,1.99306459817246,-2.18929569168152,0.473250678699671,-1.25792451849901,0.29906263314073,-0.560064620130277,0.404651163,-0.397966198035184
"13","ATN",1998,2,0,0.021282874,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,1999,"Summer/Fall","45N",-0.219833529440946,-0.706626897906369,-2.34102517461146,1.11513248606511,-1.00809281970304,-3.96055153425048,1.68378160820194,0.404651163,-0.397966198035184
"14","ATN",1999,2,0,0.013201492,"CA","Atnarko","North/Central BC",2,"Summer/Fall","Snootli","Age 0","Hatchery",2,16,2000,"Summer/Fall","45N",-0.144218949980348,0.563286904883081,0.294833517217855,0.418937602691826,0.865644921266739,0.100479222073541,-0.235233800345863,0.362790698,-0.652502954200638
